species_scientific_name,latitude,longitude,catch_date,quantity,weight_kg,depth_m,water_temperature,fishing_method,vessel_name,notes
Nemipterus japonicus,27.007386,93.042211,2024-07-30,104,442.11,39.4,21.3,Cast Net,Carlson-Rivera,Report sometimes enjoy land.
Catla catla,8.221228,85.088963,2023-05-15,191,92.82,135.9,25.3,Cast Net,White-Miles,Case challenge hand reason.
Catla catla,17.066018,73.293915,2023-07-23,158,625.41,74.0,20.4,Gillnet,"Leon, Chapman and Olson",Practice civil when financial.
Mystus tengara,32.412262,92.073561,2024-02-20,197,656.08,184.0,31.5,Hook and Line,Thompson-Wright,Thus situation herself prove half.
Clarias batrachus,36.874401,78.368292,2024-04-27,77,227.82,53.8,24.9,Purse Seine,"Krause, Steele and Little",Go message attorney social think win.
Sardinella longiceps,7.173538,74.431306,2024-05-08,152,670.96,44.1,21.8,Hook and Line,"Thomas, Le and Goodman",Central space perhaps then.
Pangasius pangasius,25.690841,93.881189,2024-02-03,135,489.72,179.8,29.4,Trawl,Peterson LLC,Leg southern again each.
Pangasius pangasius,8.70906,68.827473,2025-03-03,204,439.16,39.6,19.0,Cast Net,"Morrison, Baker and Johnson",Call item for parent moment.
Tenualosa ilisha,7.329385,92.980613,2023-01-25,285,63.81,128.5,19.1,Purse Seine,Herrera LLC,Outside hand bill phone.
Labeo rohita,31.244365,90.498232,2025-05-10,221,205.04,189.7,20.1,Gillnet,Walters-Adams,Gun investment way eat.
Pangasius pangasius,28.86721,79.591735,2024-06-21,124,165.3,183.7,30.6,Trawl,Anderson-Fuentes,Away film government improve outside identify.
Clarias batrachus,13.419701,77.053555,2023-10-18,26,22.08,122.9,29.4,Cast Net,"Zavala, Williams and Gilbert",All I avoid I happen choice big.
Clarias batrachus,24.415732,78.40912,2023-03-22,78,60.43,32.5,18.4,Trawl,Moore PLC,Avoid stuff close common huge.
Tenualosa ilisha,6.598099,94.439411,2025-07-28,189,506.5,7.1,28.1,Purse Seine,"Hawkins, Mccarthy and Hamilton",Deal painting among.
Catla catla,13.617923,88.469459,2024-09-06,65,274.41,70.5,31.5,Hook and Line,Kelly and Sons,Assume order fear long truth seven effort.
Penaeus monodon,30.780829,92.152672,2024-03-05,245,275.34,32.1,26.6,Gillnet,"Case, Richardson and Navarro",Miss contain several strategy agree none.
Labeo rohita,22.036481,91.265399,2024-09-03,78,53.63,52.8,24.2,Gillnet,"Johnson, Hopkins and Shields",Measure professor job however course condition.
Mystus tengara,26.029576,84.573925,2025-06-17,208,348.25,17.9,31.9,Cast Net,Park-Holmes,Fly each since thousand story.
Scomberomorus guttatus,7.62908,71.043509,2024-02-05,134,468.28,43.2,24.7,Hook and Line,Quinn LLC,Commercial recently join particularly.
Pangasius pangasius,33.78095,83.311537,2023-05-09,110,79.22,146.5,20.0,Hook and Line,"Mckenzie, Mosley and Guerrero",Shake million face represent rich late cultural.
Scomberomorus guttatus,14.896703,74.548994,2024-03-22,288,796.59,114.5,31.7,Trawl,"Hayes, Cross and Livingston",Lay born notice decade I certain suffer.
Mystus tengara,31.233862,78.589563,2023-07-29,74,340.3,105.7,18.6,Trawl,Wade PLC,Respond show box check staff this.
Tenualosa ilisha,8.417225,83.172107,2024-01-06,41,88.2,187.1,20.8,Purse Seine,"Davis, Joyce and Porter",Order where several occur decision instead.
Scomberomorus guttatus,26.644651,70.073454,2022-11-22,75,261.73,148.7,26.3,Cast Net,Sanchez-Wright,They join build father clear.
Catla catla,8.509434,87.296477,2025-03-01,156,599.2,93.6,20.8,Gillnet,Rivera LLC,Set open attack spring carry team.
Nemipterus japonicus,11.525072,73.169579,2022-11-17,296,517.57,148.3,21.4,Hook and Line,Marquez-Williamson,Individual begin music crime movie.
Tenualosa ilisha,16.364754,88.236831,2024-02-08,259,513.97,137.0,29.8,Purse Seine,English LLC,Necessary get it nation.
Nemipterus japonicus,20.46471,75.830789,2025-02-13,116,180.9,119.9,26.4,Gillnet,Long-Mitchell,Believe force wonder set organization.
Catla catla,36.860419,94.052585,2024-11-26,111,545.81,25.1,20.0,Purse Seine,Williams-Cruz,Dark oil production.
Sardinella longiceps,16.321953,77.467468,2024-03-06,200,733.12,189.1,29.0,Purse Seine,"Thomas, Myers and Singh",Hit southern role letter treat get learn.
Tenualosa ilisha,27.210805,90.551849,2024-12-05,120,305.41,172.3,27.7,Trawl,Morton and Sons,Eye full exactly receive student give he.
Nemipterus japonicus,9.966722,91.597337,2023-06-19,245,1172.02,193.5,20.2,Gillnet,Scott and Sons,Fight reach American official her.
Sardinella longiceps,26.717235,86.287755,2024-12-26,260,408.19,20.5,25.3,Cast Net,Duran-Ellis,Condition hard put.
Penaeus monodon,23.327069,96.153745,2025-03-24,276,414.35,96.6,29.8,Gillnet,Escobar-Schroeder,Mr phone fight their window close attention.
Sardinella longiceps,26.174054,79.8712,2024-05-03,195,223.27,45.9,19.6,Hook and Line,"Gardner, Dyer and Austin",Finish cell radio rise assume.
Clarias batrachus,26.237471,69.951604,2025-04-30,295,958.85,162.8,23.6,Cast Net,May Group,Former cover everything strategy way war.
Penaeus monodon,7.569535,87.305818,2023-07-27,126,226.27,107.6,31.0,Cast Net,Greer Group,Song network ever program.
Tenualosa ilisha,35.720469,82.319283,2025-04-27,65,183.11,45.1,20.6,Cast Net,"Hancock, Brown and Peters",Food air cover through eat opportunity environmental.
Sardinella longiceps,35.356061,70.928391,2025-05-28,198,813.43,133.5,26.8,Purse Seine,Sanford LLC,Traditional want keep good billion so final.
Clarias batrachus,24.952317,96.055051,2023-08-31,113,161.73,199.4,31.3,Cast Net,"Holland, Dickerson and Harris",Movement address environmental often.
Nemipterus japonicus,8.35914,76.643303,2024-06-17,66,63.61,134.0,29.9,Gillnet,Alvarez PLC,Family my across.
Scomberomorus guttatus,34.327167,69.342233,2025-07-22,188,212.3,116.2,21.3,Cast Net,Garcia PLC,Worker including history institution participant source win.
Catla catla,13.704812,94.641259,2023-10-23,144,507.26,26.6,25.8,Purse Seine,Cameron Ltd,Food money within catch level.
Nemipterus japonicus,23.451571,82.042843,2024-10-02,1,3.7,34.8,25.9,Hook and Line,Jones-Henderson,Nothing bag nation nation community radio trouble only.
Penaeus monodon,6.430598,81.325115,2025-04-28,58,140.76,44.1,18.1,Trawl,"Ramirez, Shaw and Kelly",North specific trade part officer boy artist.
Nemipterus japonicus,25.352264,83.940965,2023-09-05,144,563.09,6.1,24.4,Cast Net,Castaneda Group,Race officer view example.
Clarias batrachus,20.880763,87.506602,2022-11-21,164,355.99,25.2,20.0,Purse Seine,Jackson-Shaw,Tell moment occur stage.
Nemipterus japonicus,32.226668,85.01329,2025-04-07,135,199.4,104.3,23.5,Cast Net,"Green, Brown and Rice",Early everybody example example ten probably.
Mystus tengara,10.335134,85.86885,2024-12-11,25,7.43,86.8,31.1,Hook and Line,Brennan Group,World attention individual everyone someone range.
Scomberomorus guttatus,8.67183,94.613397,2023-07-19,201,878.78,55.1,25.7,Gillnet,"Patrick, Murray and Miller",Hair lose entire job support.
Nemipterus japonicus,24.432564,95.457097,2024-12-21,289,407.75,196.5,22.1,Trawl,Reid-Dennis,Hospital pass discussion cause.
Labeo rohita,10.091842,82.538286,2025-08-30,30,110.42,63.7,29.9,Trawl,Russell Group,Clearly news third reach shoulder boy few.
Nemipterus japonicus,17.324295,71.969093,2024-07-18,54,101.71,49.8,30.7,Purse Seine,Hendrix-Maynard,Myself radio me hit would.
Tenualosa ilisha,35.248723,77.404752,2024-10-23,13,51.01,97.1,23.4,Trawl,"Gardner, Kelly and Hurst",Mouth shoulder feeling pattern.
Labeo rohita,29.488376,72.767412,2024-01-12,8,36.34,66.6,29.6,Cast Net,"Hansen, Patterson and Schmidt",Oil blood authority student people.
Penaeus monodon,32.191633,83.583194,2025-07-12,255,527.27,186.5,30.7,Cast Net,Harrison-Sweeney,Enter after forward now.
Nemipterus japonicus,29.97316,78.888089,2024-12-20,294,1398.6,144.3,23.1,Cast Net,Kramer-Maldonado,Particularly watch charge.
Sardinella longiceps,24.704719,71.523637,2023-04-05,142,210.49,180.9,22.7,Hook and Line,Washington Inc,Paper kid evidence make if care treatment.
Catla catla,34.446597,91.04682,2023-06-26,291,1145.45,91.4,18.4,Cast Net,Lewis-Gibson,Today little culture maintain education to.
Clarias batrachus,19.520862,79.036148,2024-09-13,222,291.97,89.3,30.1,Gillnet,Willis Ltd,Kid person bit view someone common.
Catla catla,35.366664,76.009278,2025-03-13,57,70.87,142.5,30.4,Hook and Line,Patton Inc,Sell start green five.
Clarias batrachus,10.676641,79.054748,2023-09-13,186,72.62,185.3,30.3,Trawl,Gilbert-Goodman,Behind everything state health pick rich wide.
Penaeus monodon,6.209253,81.625918,2024-02-04,269,458.34,148.3,31.3,Hook and Line,Riley and Sons,Because training interview rich prepare next.
Sardinella longiceps,11.160716,69.752363,2024-08-16,244,429.28,119.8,28.9,Purse Seine,Brady-Roberts,Investment coach than baby.
Nemipterus japonicus,8.324138,81.742466,2023-11-04,239,893.09,144.5,22.1,Purse Seine,Fisher-Chen,General war his environment protect.
Penaeus monodon,12.456777,93.914755,2022-11-04,170,188.87,73.9,31.7,Trawl,"Bass, Williams and Larson",Bad offer reflect business sometimes store possible.
Nemipterus japonicus,27.841644,75.163901,2024-10-15,29,132.96,8.9,21.4,Cast Net,"Smith, Wheeler and Downs",Lawyer them past music.
Nemipterus japonicus,28.845008,72.982687,2023-04-20,205,238.9,33.9,30.1,Cast Net,Leonard-Horton,Contain senior page force partner throw public.
Mystus tengara,25.900411,96.595417,2024-04-05,266,264.13,114.9,19.0,Gillnet,Peck-Matthews,Four single several including popular administration approach.
Catla catla,24.533817,86.261602,2024-02-16,63,284.87,141.7,18.3,Gillnet,Hicks Ltd,Employee happy difficult lawyer me computer.
Catla catla,21.668628,74.397419,2023-06-26,40,33.61,179.2,25.3,Hook and Line,"Garza, Holt and Wood",Anything Democrat serious major.
Pangasius pangasius,15.850809,68.147166,2023-03-09,55,20.13,177.4,24.7,Gillnet,Greer-Williams,Might on Mrs whether pretty.
Pangasius pangasius,12.14363,74.894872,2023-04-18,255,953.4,148.5,25.7,Cast Net,Bates-Torres,Former ago measure focus talk large.
Labeo rohita,19.514247,87.21089,2023-07-30,200,441.14,119.5,21.1,Cast Net,Dudley PLC,Style wall music boy.
Mystus tengara,20.528793,86.793092,2025-04-26,3,2.73,119.0,22.5,Gillnet,"Smith, Hinton and Harvey",Improve me perform.
Penaeus monodon,36.389097,73.689287,2025-07-06,274,652.26,57.8,25.4,Hook and Line,Gibbs LLC,Image join him shake.
Mystus tengara,12.312885,70.979189,2025-01-05,134,269.98,87.3,20.9,Hook and Line,"Haynes, Dunlap and Fitzpatrick",When Mr bring statement low religious something.
Scomberomorus guttatus,22.983975,78.413395,2023-10-29,159,184.35,179.1,27.5,Hook and Line,Knight-Jackson,Find position common indicate account great also.
Penaeus monodon,34.156584,74.264064,2024-11-25,164,72.23,117.8,31.4,Hook and Line,Marsh and Sons,Or because not.
Labeo rohita,36.221291,84.34534,2024-08-07,171,693.11,151.1,31.6,Gillnet,Campbell Inc,Education similar vote television.
Tenualosa ilisha,7.758676,86.137155,2024-12-03,222,582.9,171.0,23.7,Hook and Line,Sullivan-Wade,Maybe room return local.
Mystus tengara,31.804259,69.444798,2025-06-26,96,82.49,43.6,19.9,Cast Net,"Deleon, Cruz and Harris",Effect situation hope.
Pangasius pangasius,33.710691,77.001456,2022-11-20,231,224.29,165.7,29.0,Cast Net,"Kline, Nelson and Nelson",Fact people pressure past training down.
Nemipterus japonicus,10.367366,82.150643,2024-09-05,22,39.32,91.1,20.5,Trawl,Clark Inc,Drug section today box ago.
Mystus tengara,32.920506,83.492461,2025-06-02,184,139.91,180.1,29.5,Hook and Line,Sanders-Mcbride,Partner often Democrat during draw wait evidence.
Pangasius pangasius,30.46896,79.604216,2023-10-19,278,424.63,144.6,26.8,Cast Net,Hunter-Lee,Whose can myself statement executive.
Penaeus monodon,30.599677,68.121087,2023-06-02,151,171.58,74.6,20.5,Cast Net,Fisher LLC,Audience maybe as heavy mention most.
Pangasius pangasius,19.510976,76.505694,2025-08-20,277,331.2,95.6,29.7,Cast Net,Williams-Moody,Bar heart late meet guess.
Nemipterus japonicus,35.335212,84.620651,2023-09-26,155,674.73,70.4,30.9,Cast Net,Valencia-Bennett,Bad spend it generation threat beat effect.
Mystus tengara,23.563371,68.653923,2023-02-12,221,779.47,163.9,19.1,Trawl,Rivera PLC,Believe story environment power.
Nemipterus japonicus,23.000859,96.5385,2023-04-23,127,408.0,135.4,26.3,Cast Net,Burns Ltd,Entire full market show whom read understand.
Scomberomorus guttatus,34.046728,81.284654,2025-02-10,20,91.4,86.3,19.2,Hook and Line,"Hernandez, Blair and Williams",Report little necessary Congress Mrs.
Pangasius pangasius,35.494334,76.138985,2024-09-28,268,167.44,130.5,26.0,Hook and Line,Williams-Lambert,Court capital hard table seem.
Pangasius pangasius,13.296343,69.676343,2023-12-05,285,1340.51,125.4,27.5,Trawl,Sandoval-Pierce,The affect affect radio person owner step information.
Clarias batrachus,17.698584,91.940721,2024-06-03,7,12.37,31.7,21.8,Purse Seine,"Contreras, Parks and Edwards",Six however else threat with magazine.
Labeo rohita,10.621762,91.486982,2023-11-03,212,80.1,101.1,25.8,Cast Net,"Blake, Heath and Sanchez",Suffer as white up important huge.
Penaeus monodon,8.207906,90.61183,2024-07-19,46,146.71,182.4,23.2,Purse Seine,"Chavez, Thomas and Allen",Start author necessary one cell TV.
Labeo rohita,29.99741,95.793494,2025-09-03,192,823.11,136.2,30.5,Purse Seine,Obrien Inc,If myself even social sure personal.
Tenualosa ilisha,20.002647,68.442013,2024-04-18,88,219.63,59.5,30.4,Hook and Line,Johnston Group,Open production prove early local small along nearly.
Nemipterus japonicus,25.603334,68.923739,2024-12-21,214,285.07,142.1,25.9,Trawl,Alvarado and Sons,Attorney day happen price form very.
Tenualosa ilisha,23.951199,78.134436,2022-11-20,137,677.27,195.0,20.9,Gillnet,Walker-Valencia,Rise not detail PM face decade.
Pangasius pangasius,6.185925,87.481271,2025-05-20,181,817.5,52.4,22.2,Trawl,Ramirez-Ruiz,Stop anyone fall development local store.
Tenualosa ilisha,21.208967,90.122102,2025-07-09,47,208.93,112.7,20.2,Trawl,Savage Inc,According left final decision base power.
Labeo rohita,23.870072,80.726454,2023-08-03,274,144.26,110.6,19.0,Purse Seine,Ramirez-Washington,Water painting staff article moment member.
Tenualosa ilisha,7.252558,82.477804,2024-01-13,274,271.45,186.6,31.8,Hook and Line,"Stanley, Perez and Aguirre",Administration law effort actually.
Nemipterus japonicus,25.729282,96.298853,2025-03-26,242,354.55,106.7,22.0,Trawl,"Kelly, Baker and Ward",Significant least onto yeah American perform.
Catla catla,16.157797,81.899994,2025-01-03,4,15.77,166.1,18.2,Hook and Line,Hughes and Sons,Right show present happy building.
Clarias batrachus,21.751795,87.729013,2024-11-01,288,502.81,83.4,24.5,Cast Net,"Villanueva, Lewis and Hoover",Plant open new down.
Labeo rohita,22.58165,90.009463,2023-04-16,280,917.71,191.1,28.4,Hook and Line,Gill PLC,Remember break town increase.
Nemipterus japonicus,28.112173,73.714905,2024-01-02,24,87.93,160.4,21.7,Trawl,Martinez-Fritz,Sell allow show.
Penaeus monodon,11.459619,87.73256,2024-12-09,170,392.45,169.3,25.4,Hook and Line,Malone-Patterson,Sea imagine probably base between huge firm.
Nemipterus japonicus,18.944086,70.256364,2024-01-23,7,10.37,115.9,26.6,Cast Net,"Hodges, Morgan and Martin",Account reveal generation you throw.
Pangasius pangasius,12.86202,73.262822,2025-06-09,178,763.65,169.9,21.1,Cast Net,Schwartz LLC,Fly official tell nothing model for education.
Nemipterus japonicus,26.900395,81.80072,2024-05-05,120,381.7,53.0,28.3,Gillnet,Taylor LLC,Religious herself professional raise consider care with.
Catla catla,30.486179,75.705822,2025-06-04,63,8.06,144.0,25.9,Purse Seine,"Park, Powell and Mendez",Fall have seek wrong wrong.
Tenualosa ilisha,30.987884,79.44343,2025-04-22,152,676.01,199.8,25.6,Gillnet,Torres LLC,Never east growth party suggest blood.
Labeo rohita,24.581208,87.842805,2022-11-26,71,149.92,145.4,28.3,Hook and Line,Brown-Houston,Under society bar admit.
Penaeus monodon,32.623656,79.61332,2023-05-27,61,206.05,19.0,24.1,Hook and Line,Marquez-Lowe,Test school it.
Clarias batrachus,10.493319,95.976215,2023-01-22,14,34.59,21.2,23.6,Cast Net,Ramirez Group,Box many today technology resource notice.
Labeo rohita,6.310234,70.470526,2024-08-09,86,325.56,122.1,31.2,Trawl,Martinez PLC,Raise move beat add operation.
Nemipterus japonicus,17.98668,78.339304,2025-08-01,46,95.94,26.0,24.8,Gillnet,Farmer LLC,Third paper responsibility think serve he design three.
Clarias batrachus,27.751877,92.920462,2024-01-06,87,98.93,3.1,21.0,Hook and Line,Patterson and Sons,Interest PM will long do evidence stop.
Pangasius pangasius,6.811816,82.729341,2025-04-02,118,279.55,161.2,29.2,Trawl,Cunningham Ltd,Those blood however part life.
Penaeus monodon,11.687593,84.050989,2025-04-25,151,194.78,143.0,21.4,Purse Seine,"Pitts, Zuniga and Morse",Situation cut around address such military major important.
Nemipterus japonicus,20.232652,71.373944,2024-01-20,139,160.29,93.3,30.7,Gillnet,Horne-Moore,Else several a area first.
Scomberomorus guttatus,32.841742,72.202513,2023-07-30,11,11.28,116.7,22.8,Cast Net,Andrews Group,Seat social likely cause.
Tenualosa ilisha,33.143832,78.620542,2025-03-02,202,48.64,184.9,29.0,Purse Seine,Taylor Ltd,Serve stand ok owner way.
Penaeus monodon,10.314804,77.668327,2022-11-09,270,1076.96,143.5,22.9,Cast Net,Cannon-Brooks,Argue glass pass respond far real.
Sardinella longiceps,33.665239,94.125783,2023-03-08,38,172.28,54.7,25.1,Trawl,"Hill, Shepherd and Pierce",Perform deep these save billion action.
Catla catla,20.796456,89.54741,2025-03-29,259,404.91,99.8,18.6,Cast Net,"Jones, Lee and Henderson",Anyone time item agreement inside talk board.
Tenualosa ilisha,15.868542,93.231643,2023-06-02,244,760.94,153.9,27.3,Cast Net,"Sanchez, Richardson and Lewis",Agree message hard summer prevent many environment.
Mystus tengara,10.094548,91.638237,2025-03-30,2,0.38,172.0,25.8,Gillnet,Lawson Ltd,Fire break give partner.
Sardinella longiceps,12.471829,73.090516,2024-06-05,277,719.94,78.1,27.7,Cast Net,Holden and Sons,To effect feel sell fall tend buy drug.
Mystus tengara,15.363577,81.795468,2023-03-02,230,1040.16,181.2,31.6,Purse Seine,"Bridges, Atkins and Greene",Fill green girl gas level.
Labeo rohita,23.365876,73.866589,2023-10-13,215,723.14,161.6,28.7,Trawl,Snow Group,Across true I.
Clarias batrachus,31.335979,87.770574,2024-08-13,245,1127.93,6.8,26.8,Cast Net,"Rodgers, Wright and Garrett",Foot enjoy agency prove return edge.
Scomberomorus guttatus,19.272906,91.08703,2024-04-09,236,850.8,146.4,24.0,Hook and Line,"Lindsey, Allen and Williams",Throughout spring point civil respond reality.
Clarias batrachus,10.389173,71.281587,2023-05-03,155,395.64,196.0,20.1,Cast Net,Gaines and Sons,At behavior beat difference.
Pangasius pangasius,30.018954,88.275635,2024-09-06,191,809.17,73.1,31.9,Cast Net,Hayes LLC,Meet among behavior again available because.
Pangasius pangasius,19.770865,82.087404,2022-12-06,243,278.72,66.7,24.3,Hook and Line,"Pena, Preston and Walter",Discuss sort certainly wish international approach.
Scomberomorus guttatus,23.318967,77.054424,2023-03-14,260,976.73,57.0,21.7,Hook and Line,"Moon, Brown and Kim",Anything time might even million catch result mention.
Pangasius pangasius,8.066741,94.125746,2023-12-03,55,108.09,81.1,18.9,Cast Net,Hill Group,Tough benefit bed add environmental create card.
Penaeus monodon,7.442616,93.703898,2024-02-05,131,365.61,169.1,19.4,Gillnet,"Carter, Norris and Walsh",Market fear behind security life.
Pangasius pangasius,20.608717,84.902099,2025-01-03,98,215.73,34.3,27.2,Purse Seine,Scott Group,Young instead never list thought wear.
Clarias batrachus,36.787886,91.261369,2025-03-23,19,65.05,90.2,31.4,Purse Seine,"Jackson, Avery and Miller",Song expert trouble threat west bar.
Penaeus monodon,10.541939,76.870125,2025-06-09,63,14.16,100.1,30.5,Gillnet,Jenkins-Becker,Newspaper relationship until rest.
Mystus tengara,31.478429,92.945297,2022-12-05,37,91.67,139.7,21.0,Gillnet,"Fields, Chavez and York",Trip popular strong too radio themselves simply.
Nemipterus japonicus,6.471124,75.294688,2025-06-23,16,53.65,140.1,29.8,Trawl,Morgan Inc,Drive our because one fill green what.
Catla catla,20.503559,81.119915,2023-06-06,178,322.82,46.7,29.9,Trawl,White PLC,Good life billion save.
Nemipterus japonicus,25.467283,80.377324,2023-12-14,244,156.11,32.2,23.0,Gillnet,"Keller, Phillips and Chavez",Day vote organization wide those.
Clarias batrachus,15.058475,95.689692,2025-03-25,285,407.47,191.8,28.9,Purse Seine,Rodriguez Inc,Resource then second behind civil.
Catla catla,15.670143,85.989551,2024-01-17,153,635.53,51.3,24.6,Gillnet,Day Group,Care third form address concern drive.
Scomberomorus guttatus,22.795462,81.179543,2022-10-13,21,88.07,185.9,27.9,Purse Seine,"Smith, Palmer and Bennett",Paper will month tell else what.
Labeo rohita,11.984389,84.962605,2025-03-11,284,528.51,9.1,21.3,Cast Net,"Miller, Morgan and Sullivan",Wonder turn professor tough lose writer ready.
Labeo rohita,30.157087,70.436293,2023-04-09,22,37.1,10.1,19.7,Hook and Line,Lawson-Watkins,Institution fight the however like direction which.
Scomberomorus guttatus,27.216195,95.691476,2023-08-10,262,965.46,196.1,29.3,Purse Seine,Wilson Ltd,Fund stuff poor administration from yeah no.
Penaeus monodon,24.739517,76.153856,2024-05-06,242,1173.63,117.1,18.6,Purse Seine,"Fields, Foster and Cooper",Song raise language visit on however cup radio.
Penaeus monodon,32.17066,96.614718,2023-11-03,73,118.22,122.0,21.7,Cast Net,Williams and Sons,Inside certain save after center bring.
Penaeus monodon,9.612321,68.720067,2023-01-19,159,749.38,102.0,23.8,Gillnet,White PLC,Recently focus develop child against nearly.
Mystus tengara,30.459646,69.024275,2022-11-27,66,48.68,196.4,20.9,Trawl,Camacho-Hopkins,Address hundred call call.
Clarias batrachus,6.720667,75.177112,2022-10-01,168,722.95,187.1,25.0,Cast Net,Hatfield Inc,Four spend eight himself ability.
Clarias batrachus,33.84375,88.391547,2023-09-13,22,89.45,193.8,25.0,Cast Net,Ruiz PLC,Start stop property assume.
Labeo rohita,29.895794,74.266761,2023-09-15,134,322.6,121.7,26.9,Trawl,Pacheco-Kim,Despite PM probably challenge set.
Mystus tengara,8.915248,86.245788,2024-06-23,80,297.81,51.6,27.4,Purse Seine,"Mcdowell, Williams and Davis",Him sport woman if president it relate.
Pangasius pangasius,22.172018,93.593155,2024-02-03,67,91.29,113.9,31.3,Hook and Line,Hobbs-Phillips,Something drug stock fly catch.
Nemipterus japonicus,19.835238,76.36272,2025-08-03,136,74.25,101.1,28.7,Trawl,Cardenas Inc,Medical practice by government amount central stay.
Pangasius pangasius,9.512256,92.666544,2024-11-22,101,395.68,119.5,29.7,Cast Net,"Williams, Macdonald and Parrish",Religious little tree effort.
Mystus tengara,27.254369,76.04285,2023-07-28,89,282.08,159.0,18.2,Cast Net,"Gordon, Lewis and Friedman",Finally surface east suddenly behind arm.
